item_id,txt
134429,"Not bad; The best Ezio Greggio ever seen and a good Renato Pozzetto are the protagonists of an unpretentious film. It was set between Milan and Riviera Ligure during an hot summer. Plot is a little banal, but there are many amusing scenes and also secondary characters are nice. Some scenes are almost unforgettable: the dinner with Pozzetto's relatives, at S. Remo casino, the night in boarding house for example. Some scenes are too politically correct, es. subplot with Pozzetto's wife; Ezio Greggio vote 9,5; Renato Pozzetto vote 7,5. I have seen better movies, but all things considered this is a reasonable movie. Final vote 7. P.S.: sorry for my English"
26242,"Really good directorial debut from Steven Spielberg.; David Mann (Dennis Weaver) is a salesman travelling across the long twisting almost totally deserted Californian desert highways on his way to an important meeting in his 1970 red Plymouth Valiant. He becomes stuck behind a large dirty and noisy tanker truck. After a bit of not too serious silliness, honking horns, trying to overtake each other and some slightly aggressive driving things turn very ugly. The truck driver (Carey Loftin as Cary Loftin) seems to become intent on pursuing David and harassing him, possibly even trying to kill him. David manages to stop at Chuck's Cafe a road-side café. The truck carries on and drives out of sight. David seeks help from the owner Chuck (Eddie Firestone). While trying to gain his composure and sort his thoughts out David looks out of the window and sees the truck parked outside, it has come back for him to finish the job. What does the truck driver want? Will David be able to loose him? Watch it and find out! This was the directorial debut from Steven Spielberg, and a fine film it is too. I should point out at this point that I am reviewing the original 74 minute cut, rather than the longer 90 minute one. I'm not sure how the long version runs, but the shorter one moves along at a nice pace and is just about right in length. There is only so much footage of a truck and car driving along a road that you can sit through and find interesting! There is basically only one character in the entire film, and that's David as the truck driver is never seen and his motives are never known. Everyone else is in it for a very short amount of time and are just people David meets along the way. The script by Richard Matheson never reveals the truck drivers identity or motives and I actually liked it that way, it sort of feels like your David more as he doesn't know the Truck drivers motives either. But on the other hand it also felt like you weren't rewarded for watching the film as nothing is made clear or explained. Overall, I would say that I probably just about liked it as it is, without revealing anything. Weaver is excellent as David, he has a few monologues during the film to keep the viewer clued into what his state of mind is and how he is thinking that work very well and somewhat compensates for the lack of other characters with which David could interact with. There are no other actors to comment on really. The truck itself makes for a menacing villain and it had a great ominous on-screen presence, it was always there constantly chasing David as it seemed the truck just wouldn't give up it's relentless pursuit. I loved the harsh sounds it made, it's roaring engine and when it revs up, I'm sure this was what Spielberg intended and it worked well as far as I'm concerned. The photography is simple yet clear bright and functional, it looks fine. I really liked it and it kept me pretty much gripped right through to the end, but as I said there is only so much footage of two vehicles driving along a stretch of road that will keep me entertained and I was getting a little tired of it by the end but just as slight boredom started to kick in it finished, according to the IMDb's 'alternate versions' section the long version has a different ending, the one I saw felt almost unfinished but quite realistic when I think about it. I've never seen the 90 minute version but I'm sure the 74 minute one is a tighter and better flowing film that doesn't outstay it's welcome. As far as the short version goes I wholeheartedly recommend it. A great debut film from Spielberg."
34045,"Don't ya just love to be confused?; Here is a film that will keep you wondering just what it's all about. For those who are into such movies, you're in for a treat. The familiar theme of going back to the past to ""fix"" certain wrongs is offered here with an engaging plot and a bang-up twist. Simon Cable is a wealthy young man who wakes up in a hospital after some kind of accident in 2002, supposedly due to wood refinishing fumes. We soon learn that he has been in this hospital before, in 2000, which is when his brother Peter was killed. His wife Anna comes to see him but apparently was somehow involved in the cover-up of the truth behind Peter's death. All of this is unknown to Simon, since he has amnesia (or so his doctor thinks) and now believes he has lost two years of his life. It is here that we movie-goers become intrigued, and the attention-grabbing twists do not stop. Who is the blond woman Claire? What is the secret of Simon's brother's death? Why is his doctor unfathomably a pediatrician? As Simon recovers from his accident, he seems to have flashbacks to 2000, filling the holes in his memory. Or does he? His doctor in 2000 makes a pretty good case that his mind is creating images that Simon feels are actually premonitions of 2002. Confused? Well, so's Simon, and we come to understand the ""real"" story in bits and pieces, just as Simon does. Eventually, he believes (based on a rather shocking incident during a ""flashback"" to 2000) that he can go back in time to undo past wrongs and, as in so many other films of this type, things do not go well. Seen it before, you say? Well, this is a well-wrought presentation of the basic premise, with a possible murder and wife/mistress conflict, some good editing, and more than respectable acting, especially from Ryan Phillipe (Simon), who seems to be blossoming as an actor, or at least is getting better roles. This is a good thing, considering that Phillipe is in every scene, and the other actors all have rather small parts by comparison. Big-name actor Stephen Rea as Doctor Newman is nothing to write home about, but that may partly be because his role is relatively less significant to the total story. The role of Simon's brother Peter, played by Robert Sean Leonard, is even smaller, and Leonard seems to barely walk through it. However, watch for Stephen Graham's portrayal of particularly crabby heart patient Travitt in the year 2000 scenes. In any event, go into this film with an open mind, and try not to compare it to others of its genre, most recently ""The Butterfly Effect."" The last few minutes of the film will make you rethink your comparisons anyway and leave you with a new confusion worth discussing at your favorite coffeehouse afterwards."
8376,"A feel-good movie for the geek in any of us...; I enjoyed this movie, entirely. Initially, when it first appeared in promos, it didn't have my interest at all. Then slowly I noticed this movie popping up in review boards, and flying off the shelves in stores... the other day a lady at Target asked an employee if there were any more copies, since the shelves were cleared. And at Blockbuster, all copies were gone. Finally, I had to see this... very enjoyable! Dang if it didn't remind me of me in some ways, from back in school. I knew I was a geek back then (early 80s), all into computers, drawing stuff, and essentially being a social outcast, in the corners at the school dances. I only wish I knew a geeky gal back then to somehow connect with! If you listen to the commentary, a good deal of the events and setups in the movie come directly out of the writer's personal life, and he mentions ""nostalgia"" especially relating to music of the time. I can relate completely. Great movie. I had to check out the actor's profiles to determine if there was any realism in the personalities coming through... was Jon (Napoleon) really that geeky in real life? Maybe a bit, but pulling all these quirks of personalities off is a testament to their skill... all of them. I do believe Deb is my favourite character... what a sweetheart. I don't buy too many DVDs, but this one is certainly on my list."
155493,"Great Movie; Throughly intense. Just goes to show why you should never judge a book by its cover. Charles Durning portrayal of an aging veteran is both surprising and fantastic. He's not the usual Gibson or Jackson type star Hollywood would use to enhance this character. The really scary factor in this movie is that it could actually happen anywhere. there's no super movie special effects, just straight out home brewed justice. This movie not only illustrates social and cultural stress of changing urban demographics, it delves deep into the psyche of post traumatic stress that many war veterans live with on a daily basis. Definitely a must see, you may never look at your war veteran neighbor the same again. Now, if this would only be distributed on DVD!"
3156,"A beautifully  Innocent Film; Firstly, i have not read Asimov's book and therefore cannot remark on any errors in translation from book to film. I have read many of the comments posted here on the IMDb, but fail to see why so many people feel the need to mention that the world is perceived as perfect in the the future, maybe it is, maybe it isn't, the fact is, it's not important. This movie quite simply follows the life of a man trapped in a robots body and his quest to be accepted in the world, and be allowed to love and cherish the people close to him. I have to say that i didn't expect much from this movie, i thought it would be a kids film, full of typical Robin Williams style laughs, i was way off in my assumption. This is probably Robin Williams's best performance and it is a very emotional journey through change and development of the human condition. Overall the film is quite amusing, very touching and is full of realistic characters all very well cast to not overshadow 'Andrew' as he quests over 200 years for acceptance. A great movie 9/10"
2693,"A roller coaster documentary; While Star Trek is a viewpoint to a promising future, ""Trekkies"" is a delightful insight into another world of today. As a European non-Star Trek-fan it is a bit tricky to grasp exactly how important the phenomenon have been in the formation of American culture throughout the 60's and up to today. Although the intention of the filmmakers certainly is to make a movie about Star Trek fans as individuals - and not so much the phenomena itself - this aspect is also emphasized and explained to a certain degree. The characters varies wildly, from the somewhat too-much-of-a-fan-to-be-real to the more self-conscious enthusiasts with a fascinating insight both in the world in which they have chosen to dwell in and the individuals they are. The editing is often set to fast forward and is a bit too quick here and there, so it gets a bit exhausting to watch at times. Although there is a lack of traditional dramaturgy here, ""Trekkies"" is really entertaining, funny and heart-warming. There are some touching scenes such as the story of the suicide note as well as a number of disturbing ones like the family all dressed up in Star Trek-clothing and, perhaps especially troubling, the story of the q-virus."
8983,"An experience of memorable action and colour; As a sequel and follow-up to the previous Zhang title Hero, this is a sumptuous story well worth seeing. It focuses less on the military aspects and although the rebel group depicted has a political motive, the story concerns itself mainly with love and romance where many of the scenes are one to one encounters. There are plenty of martial arts action sequences, and breathtaking landscapes as a background. Varying types of instruments are used for the background music, which are an interesting companion to the story, and don't over intrude. The costumes and settings are lavish and do a lot to make this film a worthy product of the Far East film industry. The dialogue is in Chinese, but the English subtitles are excellent."
6297,"A great, must see film!; A brilliant film with a cracking cast. A must see film. It is funny, Romantic, sad, action packed all at the same time. All of the people in it are brilliant, and it is a film you can watch over and over again!I recommend it both to people who have read the book and people who haven't, It is a film you must watch all the way through, other wise you may get a bit confused. I think Stanley (Shia LeBouf) is a brilliant actor, and deserves credit for this great film. I liked this film because it stays quite true to the book, and all the characters are enthralling and interesting, You feel like you know them by the end of the film, as they are portrayed so well. I also like the way the film flashes back to different locations during the duration, as without this you would be entirely confused. Patricia Arquette plays Kate Barlow very well.You must watch this film!"
31184,"A bad movie, a worse dub; This movie was never going to be in any sort of wide release, and it was never going to appeal to a mainstream audience, yet Geneon, the distributor and translator decided to release it sporting a new English dub track. And it is wretched. Horrible. The anime industry is in a boom period right now, and the direction it is going to wavering between good, solid, accurate subtitles that leave the original actors who actually care about performance, and bad Disneyfied recordings with sub par actors who ham it up like old 70's cartoons. I would compare these ""serious"" performances to those found in Waiting for Guffman. Yes, it is that bad. Pile on top of that a terrible script, and you're left with a shell of the original movie. That aside, the animation did look pretty at times, and I've seen the integration between the 3d and 2d animation praised as some of the best, but it really didn't work well for me. What they did good was try to incorporate some of the artistic style of the characters into the 3d renderings, but I don't think they went far enough and the difference is still too jarring. The characters obviously belong to a different ""world"" then their backgrounds. This isn't a problem with in movies like Akira or The Incredibles where everything looks like it fits. Instead you're eye is constantly drawn to the difference, not the action. The story was far too complicated to be told in an hour and a half. It seemed interesting enough, albeit a little overdone filled with established sci-fi cliché's, but something that could sustain my interest for a little while if properly done. Based on a manga though, the movie tries to cram too much information and background into too short a time, something Akira also suffered from. Therefore, when major revelations about the characters are made, or huge plots wrap up, the feeling behind it is one of confusion and pointlessness. One is left to ask why they should even care. The cinematography was easily the best aspect of the film, some of the shots looking absolutely gorgeous, the animation tablet letting the camera move in some incredible directions. This sadly was limited to the actions scenes, sparsely scattered throughout. The other scenes where mundanely structured and shot, nothing about them pulled to eye to attention. All these problems coupled together created a pretty bad experience, and the audience I was with agreed, laughing throughout at the film. The only recommendation I can make is that by attending, you support the theatrical release of anime, which can never be a bad thing. But if this isn't a strong opinion you share, skip this film."
8870,"The whole movie is about living with paranoid-schizophrenia......; I never thought I would sign up for a movie discussion forum, but I'm compelled to since I think that many viewers of the movie have missed the whole point. It's not that complicated. No X-files-type alien stuff going on. Basically, this woman gets up everyday and sends her kid off to school. Some days she's OK, and some days, some hours later, she'll call her psychiatrist and say frantically, ""Where's my baby boy?!, Oh My God!, they've taken away my baby!!"" After spending most of the day running around town, making up all kinds of paranoid stories, and making up characters to support them, (who all end up being sucked up into the sky....did you notice that?), or looking for that microfilm of a plane crash that never happened (that must be disappointing when yer so sure it did....) our hero is relieved to find her son safe at the local playground, unharmed. THAT day she says it's just to straighten his coat up or something, tomorrow it'll be some other reason. If only her son had turned to another kid and said, ""Yup, that's my mom, she gets that way sometimes."", then maybe more viewers would've understood, but good writers and director's don't want to give everything away. So that boils it down for me. That's why many think it's a silly movie with a silly ending, when in fact it's a window into the life of those who are using our under-funded mental health system everyday... ...... THE FORGOTTEN.....! cheers, HJ"
8810,"An excellent sci-fi action film!; Ever since the comic books came out, I have been waiting for this movie to hit the theaters. The film did not disappoint! A research group is sent to Antartica to investigate a strange heat source under the frozen ice. Little do they realize, they are about to be thrust into the middle of a war the world has never seen. Great special effects and an interesting story makes this one above average. It is no where near the original Alien or Predator film, but it is great entertainment. My only complaint is the fact that they changed how the Predator looked. It would have been better if they kept the original design. If you are a fan of sci-fi action, definitely pick this one up. If you expect a film to match the original Alien or Predator movie, you may be disappointed. But people, remember, this is based on a comic book, so the comic book style should be expected!"
8917,"Funniest Movie I have seen in a movie theater.; We laughed from the beginning to the end. I have seen this movie 2x. I rank it among Blazzing Saddles, Young Frankenstien, and Longest Yard. This is the funniest movie that I have ever seen in a movie theater. More funny then animal house or porkies. The best thing the guys from south park have ever done. Really its that good. I am sure you will laugh at this movie. The Kim John Ill scenes with Hans Brix make me laugh so hard. The voice of Kim John Ill is amazing. The use of actors as a main theme to the movie is amazing. The Matt Damon puppet is so funny. The song Team America is so great. I give it a 10 out of 10. I could not believe how funny it is."
5010,"Not a huge fan of the Genre, but a Fine Movie; As war films go, i have to say i'm not really a fan, but i do like to watch a good movie, and thats what this is. Based around real events, this film and its brilliant cast delivers suspense, drama and action. The entire movie seems to be realistic in its depiction of war, in the same way that Saving Private Ryan is. This is a well made movie, that shows us that errors in war do occur, and that no-one can hide from the horrific repercussions of these errors. An emotionally charged, well made movie 8/10"
6264,"More Recycled, Formula Drek; From the opening moments the clichés begin washing up around your feet, weighing you down and dragging you to the core of boredom. There are the mysterious military personnel. There are the shots of Washington architecture. There is the talk of ""the academy"". So many Sci-Fi films and so many academies Isn't there a synonym for them? The blonde, blue eyed, square jawed leading man with the foreign speaking buddy both full of serious intent and off the cuff jocularity. ""Hey the planet's dying, but where's my pop tart?"" This time the pencil neck computer geek was too much with his nose borrowed from Cyrano DeBergerac. Then there is the awful science, the horrible editing so choppy it is like reading a comic book where great leaps of logic are required to fill in the gaps in the storyline...you get the picture. Rather, don't get it and go watch some paint dry."
